Ticker,Name,Industry
1101.TW,台泥,水泥工業
1102.TW,亞泥,水泥工業
1103.TW,嘉泥,水泥工業
1104.TW,環泥,水泥工業
1108.TW,幸福,水泥工業
1109.TW,信大,水泥工業
1110.TW,東泥,水泥工業
1201.TW,味全,食品工業
1203.TW,味王,食品工業
1210.TW,大成,食品工業
1213.TW,大飲,食品工業
1215.TW,卜蜂,食品工業
1216.TW,統一,食品工業
1217.TW,愛之味,食品工業
1218.TW,泰山,食品工業
1219.TW,福壽,食品工業
1220.TW,台榮,食品工業
1225.TW,福懋油,食品工業
1227.TW,佳格,食品工業
1229.TW,聯華,食品工業
1231.TW,聯華食,食品工業
1232.TW,大統益,食品工業
1233.TW,天仁,食品工業
1234.TW,黑松,食品工業
1235.TW,興泰,食品工業
1236.TW,宏亞,食品工業
1256.TW,鮮活果汁-KY,食品工業
1301.TW,台塑,塑膠工業
1303.TW,南亞,塑膠工業
1304.TW,台聚,塑膠工業
1305.TW,華夏,塑膠工業
1307.TW,三芳,塑膠工業
1308.TW,亞聚,塑膠工業
1309.TW,台達化,塑膠工業
1310.TW,台苯,塑膠工業
1312.TW,國喬,塑膠工業
1313.TW,聯成,塑膠工業
1314.TW,中石化,塑膠工業
1315.TW,達新,塑膠工業
1316.TW,上曜,建材營造業
1319.TW,東陽,汽車工業
1321.TW,大洋,塑膠工業
1323.TW,永裕,塑膠工業
1324.TW,地球,塑膠工業
1325.TW,恆大,塑膠工業
1326.TW,台化,塑膠工業
1337.TW,再生-KY,塑膠工業
1338.TW,廣華-KY,汽車工業
1339.TW,昭輝,汽車工業
1340.TW,勝悅-KY,塑膠工業
1341.TW,富林-KY,塑膠工業
1342.TW,八貫,其他業
1402.TW,遠東新,紡織纖維
1409.TW,新纖,紡織纖維
1410.TW,南染,紡織纖維
1413.TW,宏洲,紡織纖維
1414.TW,東和,紡織纖維
1416.TW,廣豐,其他業
1417.TW,嘉裕,紡織纖維
1418.TW,東華,紡織纖維
1419.TW,新紡,紡織纖維
1423.TW,利華,紡織纖維
1432.TW,大魯閣,運動休閒
1434.TW,福懋,紡織纖維
1435.TW,中福,其他業
1436.TW,華友聯,建材營造業
1437.TW,勤益控,其他業
1438.TW,三地開發,建材營造業
1439.TW,雋揚,建材營造業
1440.TW,南紡,紡織纖維
1441.TW,大東,紡織纖維
1442.TW,名軒,建材營造業
1443.TW,立益物流,其他業
1444.TW,力麗,紡織纖維
1445.TW,大宇,紡織纖維
1446.TW,宏和,紡織纖維
1447.TW,力鵬,紡織纖維
1449.TW,佳和,紡織纖維
1451.TW,年興,紡織纖維
1452.TW,宏益,紡織纖維
1453.TW,大將,建材營造業
1454.TW,台富,紡織纖維
1455.TW,集盛,紡織纖維
1456.TW,怡華,建材營造業
1457.TW,宜進,紡織纖維
1459.TW,聯發,紡織纖維
1460.TW,宏遠,紡織纖維
1463.TW,強盛新,紡織纖維
1464.TW,得力,紡織纖維
1465.TW,偉全,紡織纖維
1466.TW,聚隆,紡織纖維
1467.TW,南緯,紡織纖維
1468.TW,昶和,紡織纖維
1470.TW,大統新創,紡織纖維
1471.TW,首利,電子零組件業
1472.TW,三洋實業,建材營造業
1473.TW,台南,紡織纖維
1474.TW,弘裕,紡織纖維
1475.TW,業旺,紡織纖維
1476.TW,儒鴻,紡織纖維
1477.TW,聚陽,紡織纖維
1503.TW,士電,電機機械
1504.TW,東元,電機機械
1506.TW,正道,電機機械
1512.TW,瑞利,汽車工業
1513.TW,中興電,電機機械
1514.TW,亞力,電機機械
1515.TW,力山,電機機械
1516.TW,川飛,其他業
1517.TW,利奇,電機機械
1519.TW,華城,電機機械
1521.TW,大億,汽車工業
1522.TW,堤維西,汽車工業
1524.TW,耿鼎,汽車工業
1525.TW,江申,汽車工業
1526.TW,日馳,電機機械
1527.TW,鑽全,電機機械
1528.TW,恩德,電機機械
1529.TW,樂事綠能,電機機械
1530.TW,亞崴,電機機械
1531.TW,高林股,電機機械
1532.TW,勤美,電機機械
1533.TW,車王電,汽車工業
1535.TW,中宇,電機機械
1536.TW,和大,汽車工業
1537.TW,廣隆,電機機械
1538.TW,正峰,電機機械
1539.TW,巨庭,電機機械
1540.TW,喬福,電機機械
1541.TW,錩泰,電機機械
1558.TW,伸興,電機機械
1560.TW,中砂,電機機械
1563.TW,巧新,汽車工業
1568.TW,倉佑,汽車工業
1582.TW,信錦,電子零組件業
1583.TW,程泰,電機機械
1587.TW,吉茂,汽車工業
1589.TW,永冠-KY,電機機械
1590.TW,亞德客-KY,電機機械
1597.TW,直得,電機機械
1598.TW,岱宇,運動休閒
