Ticker,ROI(%)
1301.TW,12.58
1303.TW,78.4
1409.TW,13.81
1419.TW,-24.19
1513.TW,-1.39
1605.TW,13.2
1608.TW,-2.6
1731.TW,-3.38
1802.TW,4.53
1904.TW,19.57
2031.TW,-1.33
2107.TW,9.99
2114.TW,6.97
2115.TW,13.08
2362.TW,12.0
2376.TW,5.96
2491.TW,203.49
2597.TW,-3.88
2603.TW,18.97
2606.TW,22.61
2615.TW,33.49
2636.TW,-3.45
2739.TW,10.21
2753.TW,6.1
2816.TW,14.75
2906.TW,8.76
2908.TW,0.28
3049.TW,10.91
3135.TW,105.28
3231.TW,14.8
3504.TW,39.03
3617.TW,15.39
4106.TW,2.84
4766.TW,-2.88
4912.TW,-13.4
4938.TW,-0.56
4949.TW,3.92
5515.TW,30.01
5607.TW,3.14
6108.TW,57.91
6177.TW,0.23
6206.TW,39.13
6278.TW,90.53
6598.TW,11.85
6666.TW,4.29
6670.TW,-12.57
6770.TW,17.93
6782.TW,16.71
6792.TW,13.76
6914.TW,-1.34
8070.TW,11.13
8481.TW,-4.58
9905.TW,5.89
1522A.TW,5.08
2887I.TW,0.99
1268.TWO,0.03
1595.TWO,80.59
1777.TWO,4.05
3285.TWO,46.6
3444.TWO,44.05
3631.TWO,31.21
3680.TWO,-9.01
4111.TWO,-0.72
4139.TWO,32.05
4554.TWO,10.25
4735.TWO,25.52
5371.TWO,-7.73
5864.TWO,77.81
6240.TWO,3.51
6419.TWO,21.38
6532.TWO,50.59
6651.TWO,32.39
6712.TWO,16.31
6716.TWO,77.66
6953.TWO,-7.8
7704.TWO,33.06
8354.TWO,-11.53
8932.TWO,9.28
