Ticker,LastDate,MACD,Signal,Hist
2231.TW,2025-10-08,2.9,4.92,-2.02
2476.TW,2025-10-08,1.42,2.43,-1.01
3005.TW,2025-10-08,0.74,2.87,-2.13
3665.TW,2025-10-08,5.37,13.11,-7.75
4766.TW,2025-10-08,0.9,4.62,-3.72
4770.TW,2025-10-08,1.25,2.29,-1.04
5234.TW,2025-10-08,7.77,11.93,-4.16
6937.TW,2025-10-08,7.98,8.98,-1.01
6949.TW,2025-10-08,4.04,10.83,-6.79
5289.TWO,2025-10-08,15.1,16.87,-1.76
6188.TWO,2025-10-08,0.16,2.02,-1.86
6761.TWO,2025-10-08,0.25,3.55,-3.3
6913.TWO,2025-10-08,0.42,1.87,-1.45
7402.TWO,2025-10-08,2.88,5.9,-3.02
8358.TWO,2025-10-08,12.11,13.54,-1.44
8932.TWO,2025-10-08,2.27,4.3,-2.03
