Ticker,LastDate,MACD,Signal,Hist
1108.TW,2025-10-09,0.01,0.01,-0.01
1229.TW,2025-10-09,0.22,0.27,-0.05
1323.TW,2025-10-09,0.01,0.01,-0.0
1512.TW,2025-10-09,0.04,0.06,-0.02
1533.TW,2025-10-09,0.06,0.18,-0.12
1717.TW,2025-10-09,0.37,0.54,-0.17
2208.TW,2025-10-09,0.03,0.58,-0.55
2239.TW,2025-10-09,0.52,0.81,-0.29
2302.TW,2025-10-09,0.25,0.29,-0.05
2314.TW,2025-10-08,0.1,0.3,-0.2
2338.TW,2025-10-09,0.22,0.43,-0.21
2363.TW,2025-10-09,0.51,0.51,-0.01
2401.TW,2025-10-09,0.04,0.13,-0.1
2405.TW,2025-10-09,0.11,0.13,-0.02
2453.TW,2025-10-09,0.17,0.34,-0.16
2457.TW,2025-10-09,0.11,0.15,-0.03
2472.TW,2025-10-09,1.01,1.28,-0.27
2476.TW,2025-10-09,1.24,2.2,-0.95
2485.TW,2025-10-09,0.06,0.13,-0.06
2486.TW,2025-10-09,0.64,0.66,-0.02
2501.TW,2025-10-09,0.49,0.54,-0.05
2614.TW,2025-10-09,0.59,0.75,-0.16
2880.TW,2025-10-09,0.16,0.23,-0.08
2882.TW,2025-10-09,0.38,0.42,-0.05
2885.TW,2025-10-09,0.3,0.43,-0.13
2891.TW,2025-10-09,0.02,0.09,-0.07
3023.TW,2025-10-09,0.06,0.65,-0.59
3040.TW,2025-10-09,0.04,0.26,-0.22
3042.TW,2025-10-09,0.65,0.83,-0.18
3094.TW,2025-10-09,0.32,0.37,-0.05
3257.TW,2025-10-09,0.31,0.95,-0.65
3504.TW,2025-10-09,0.26,0.5,-0.24
3704.TW,2025-10-09,0.15,0.58,-0.43
4108.TW,2025-10-09,0.02,0.16,-0.14
6168.TW,2025-10-09,0.11,0.24,-0.13
6202.TW,2025-10-09,0.27,0.35,-0.08
6552.TW,2025-10-09,0.24,0.26,-0.02
6937.TW,2025-10-09,8.42,8.87,-0.46
8016.TW,2025-10-09,0.56,1.41,-0.85
8163.TW,2025-10-09,0.3,0.31,-0.0
8463.TW,2025-10-09,0.0,0.06,-0.06
9941.TW,2025-10-09,0.45,0.81,-0.36
6645.TW,2025-10-09,0.36,0.6,-0.24
1785.TWO,2025-10-09,1.6,1.67,-0.07
3169.TWO,2025-10-09,0.67,0.73,-0.06
3171.TWO,2025-10-09,0.98,1.34,-0.36
3325.TWO,2025-10-09,0.25,0.28,-0.02
3479.TWO,2025-10-09,0.61,0.72,-0.12
3552.TWO,2025-10-09,0.28,0.56,-0.28
3556.TWO,2025-10-09,0.23,0.25,-0.02
3567.TWO,2025-10-09,0.24,0.26,-0.02
3587.TWO,2025-10-09,2.5,3.16,-0.66
3646.TWO,2025-10-09,0.15,0.22,-0.08
4303.TWO,2025-10-09,0.18,0.6,-0.42
4939.TWO,2025-10-09,0.4,0.73,-0.33
5371.TWO,2025-10-09,1.54,1.91,-0.37
5457.TWO,2025-10-09,0.77,0.85,-0.08
5483.TWO,2025-10-09,3.44,3.48,-0.04
6146.TWO,2025-10-09,0.35,0.93,-0.58
6174.TWO,2025-10-09,0.24,0.28,-0.04
6210.TWO,2025-10-09,0.37,0.39,-0.02
6261.TWO,2025-10-09,0.14,0.21,-0.07
6265.TWO,2025-10-09,0.52,0.55,-0.03
6649.TWO,2025-10-09,3.53,3.69,-0.16
6727.TWO,2025-10-09,3.9,4.03,-0.13
6903.TWO,2025-10-09,1.54,1.67,-0.12
8086.TWO,2025-10-09,1.29,1.54,-0.25
8088.TWO,2025-10-09,1.02,1.17,-0.15
8121.TWO,2025-10-09,0.61,1.11,-0.5
8183.TWO,2025-10-09,0.33,0.39,-0.06
8272.TWO,2025-10-09,0.54,0.68,-0.14
8401.TWO,2025-10-09,0.31,0.38,-0.07
