Ticker,LastDate,MACD,Signal,Hist,ATR,StopLoss,TakeProfit,RevenueGrowth
2208.TW,2025-10-09,0.03,0.58,-0.55,1.06,20.08,25.38,1.512
2453.TW,2025-10-09,0.17,0.34,-0.16,1.31,58.58,65.13,0.103
2472.TW,2025-10-09,1.01,1.28,-0.27,2.77,82.46,96.31,0.064
2476.TW,2025-10-09,1.24,2.2,-0.95,3.86,96.78,116.08,0.099
2501.TW,2025-10-09,0.49,0.54,-0.05,0.46,22.68,24.98,0.433
2880.TW,2025-10-09,0.16,0.23,-0.08,0.29,28.67,30.12,0.075
2885.TW,2025-10-09,0.3,0.43,-0.13,0.49,33.47,35.92,0.816
2891.TW,2025-10-09,0.02,0.09,-0.07,0.57,41.46,44.31,0.497
3257.TW,2025-10-09,0.31,0.95,-0.65,2.25,63.0,74.25,0.342
3504.TW,2025-10-09,0.26,0.5,-0.24,1.93,55.64,65.29,0.105
6168.TW,2025-10-09,0.11,0.24,-0.13,0.59,19.72,22.67,0.105
8016.TW,2025-10-09,0.56,1.41,-0.85,6.68,198.14,231.54,0.062
8463.TW,2025-10-09,0.0,0.06,-0.06,0.28,24.64,26.04,0.178
2882A.TW,2025-10-09,0.0,0.01,-0.0,0.11,60.78,61.33,1.757
1785.TWO,2025-10-09,1.6,1.67,-0.07,2.11,59.08,69.63,0.253
3171.TWO,2025-10-09,0.98,1.34,-0.36,1.69,51.12,59.57,0.031
3587.TWO,2025-10-09,2.5,3.16,-0.66,5.36,197.78,224.58,0.083
4303.TWO,2025-10-09,0.18,0.6,-0.42,2.54,66.52,79.22,3.905
4966.TWO,2025-10-09,1.64,3.27,-1.63,28.29,724.42,865.87,0.052
6265.TWO,2025-10-09,0.52,0.55,-0.03,0.79,11.32,15.27,0.09
6727.TWO,2025-10-09,3.9,4.03,-0.13,11.71,167.08,225.63,0.059
6733.TWO,2025-10-09,0.02,0.11,-0.08,1.36,39.98,46.78,0.415
6913.TWO,2025-10-09,0.15,1.53,-1.38,6.46,122.08,154.38,N/A
8088.TWO,2025-10-09,1.02,1.17,-0.15,1.81,35.63,44.68,0.532
