Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2436.TW,2026-05-12,80,35,20,10,15,3.15,3.26,-0.11,52.3,4.84,66.92,91.12,10.7
2455.TW,2026-05-12,80,30,20,15,15,23.76,24.27,-0.52,57.2,31.25,312.5,468.75,32.8
8021.TW,2026-05-12,75,20,25,15,15,35.11,36.98,-1.87,61.2,31.29,408.92,565.37,40.8
2882A.TW,2026-05-12,70,40,15,15,0,0.06,0.13,-0.06,42.1,0.19,61.82,62.77,112.9
2347.TW,2026-05-12,65,35,20,10,0,1.6,1.68,-0.08,50.2,2.66,79.58,92.88,11.4
2881B.TW,2026-05-12,65,35,15,15,0,0.04,0.08,-0.04,25.0,0.17,62.26,63.11,24.0
2476.TW,2026-05-12,65,20,15,15,15,5.34,6.45,-1.11,45.8,6.71,105.08,138.63,31.7
3290.TWO,2026-05-12,65,35,15,15,0,0.34,0.49,-0.15,39.8,1.9,43.95,53.45,24.0
3587.TWO,2026-05-12,60,30,20,10,0,21.72,22.67,-0.95,54.0,25.57,334.36,462.21,14.0
6534.TW,2026-05-12,60,30,15,10,5,1.46,1.82,-0.37,43.1,3.06,91.68,106.98,19.2
3171.TWO,2026-05-12,60,25,20,15,0,0.91,1.59,-0.68,53.2,2.71,61.78,75.33,56.9
3556.TWO,2026-05-12,60,35,15,10,0,1.84,1.97,-0.13,37.4,2.87,47.76,62.11,13.1
2883B.TW,2026-05-12,60,30,15,15,0,0.01,0.02,-0.01,30.8,0.03,8.16,8.31,35.3
6208.TWO,2026-05-12,60,30,25,5,0,5.75,6.67,-0.92,60.1,6.07,74.36,104.71,0.3
3045.TW,2026-05-12,55,35,15,5,0,0.06,0.4,-0.34,26.7,1.14,107.72,113.42,1.1
6168.TW,2026-05-12,55,35,10,5,5,0.44,0.58,-0.14,45.6,1.7,23.45,31.95,4.6
8039.TW,2026-05-12,55,25,10,15,5,3.22,4.88,-1.67,43.9,9.89,118.72,168.17,23.1
6548.TWO,2026-05-12,55,35,10,10,0,0.68,0.98,-0.3,43.9,3.28,46.14,62.54,10.5
6425.TWO,2026-05-12,50,30,15,5,0,3.24,3.5,-0.26,43.2,5.04,78.92,104.12,4.6
6788.TWO,2026-05-12,45,25,10,10,0,18.72,20.4,-1.68,36.7,31.29,402.42,558.87,20.0
6791.TWO,2026-05-12,45,25,10,10,0,3.37,4.87,-1.5,35.2,7.46,105.58,142.88,18.6
