Ticker,LastDate,MACD,Signal,Hist
1216.TW,2025-10-08,-0.17,-0.07,-0.09
1232.TW,2025-10-08,-0.64,-0.6,-0.04
1234.TW,2025-10-08,-0.34,-0.34,-0.0
1301.TW,2025-10-08,-0.14,-0.13,-0.0
1314.TW,2025-10-08,-0.02,-0.0,-0.02
1326.TW,2025-10-08,0.04,0.09,-0.06
1417.TW,2025-10-08,-0.0,0.0,-0.0
1437.TW,2025-10-08,-0.07,0.03,-0.1
1439.TW,2025-10-08,-0.1,-0.09,-0.0
1445.TW,2025-10-08,-0.08,-0.02,-0.06
1468.TW,2025-10-08,-0.43,-0.34,-0.09
1506.TW,2025-10-08,-0.07,0.04,-0.11
1515.TW,2025-10-08,-0.68,-0.54,-0.14
1522.TW,2025-10-08,-0.06,0.06,-0.12
1524.TW,2025-10-08,-0.32,-0.23,-0.09
1525.TW,2025-10-08,-0.15,0.09,-0.24
1528.TW,2025-10-08,-0.37,-0.35,-0.02
1530.TW,2025-10-08,-0.2,-0.17,-0.02
1538.TW,2025-10-08,-0.2,-0.18,-0.02
1568.TW,2025-10-08,-0.17,-0.09,-0.08
1618.TW,2025-10-08,-0.48,-0.43,-0.04
1713.TW,2025-10-08,-0.17,-0.13,-0.04
1752.TW,2025-10-08,-0.01,0.17,-0.19
1805.TW,2025-10-08,-0.42,-0.37,-0.05
1809.TW,2025-10-08,0.05,0.08,-0.03
1810.TW,2025-10-08,-0.37,-0.27,-0.1
2014.TW,2025-10-08,-0.01,0.0,-0.02
2101.TW,2025-10-08,-0.92,-0.47,-0.45
2108.TW,2025-10-08,-0.23,-0.23,-0.01
2206.TW,2025-10-08,-0.53,-0.44,-0.09
2227.TW,2025-10-08,-0.18,-0.08,-0.09
2231.TW,2025-10-08,2.9,4.92,-2.02
2243.TW,2025-10-08,-0.04,-0.01,-0.03
2305.TW,2025-10-08,-0.05,0.0,-0.06
2349.TW,2025-10-08,-0.17,-0.15,-0.03
2353.TW,2025-10-08,-0.15,-0.01,-0.14
2355.TW,2025-10-08,-0.48,-0.28,-0.19
2365.TW,2025-10-08,-0.84,-0.64,-0.2
2371.TW,2025-10-08,-0.21,-0.15,-0.06
2380.TW,2025-10-08,-0.12,-0.07,-0.04
2402.TW,2025-10-08,-0.49,-0.26,-0.23
2406.TW,2025-10-08,-0.26,-0.01,-0.25
2414.TW,2025-10-08,-0.1,-0.04,-0.06
2417.TW,2025-10-08,-0.76,-0.62,-0.14
2427.TW,2025-10-08,-0.4,-0.38,-0.02
2442.TW,2025-10-08,-0.36,-0.32,-0.04
2464.TW,2025-10-08,-0.91,-0.13,-0.78
2476.TW,2025-10-08,1.42,2.43,-1.01
2482.TW,2025-10-08,-0.3,-0.16,-0.14
2488.TW,2025-10-08,-0.34,-0.3,-0.03
2491.TW,2025-10-08,-0.05,0.04,-0.09
2496.TW,2025-10-08,-0.18,-0.18,-0.0
2506.TW,2025-10-08,-0.07,-0.05,-0.02
2515.TW,2025-10-08,-0.22,-0.19,-0.03
2538.TW,2025-10-08,-0.29,-0.28,-0.01
2605.TW,2025-10-08,-0.16,-0.07,-0.09
2610.TW,2025-10-08,-0.16,-0.13,-0.03
2611.TW,2025-10-08,-0.27,-0.25,-0.02
2613.TW,2025-10-08,-0.49,-0.46,-0.04
2618.TW,2025-10-08,-0.23,-0.21,-0.02
2634.TW,2025-10-08,-0.16,0.73,-0.89
2637.TW,2025-10-08,-0.5,-0.39,-0.11
2702.TW,2025-10-08,-0.19,-0.18,-0.01
2704.TW,2025-10-08,-0.53,-0.28,-0.25
2712.TW,2025-10-08,-0.04,-0.03,-0.0
2731.TW,2025-10-08,-0.16,0.14,-0.3
2748.TW,2025-10-08,-0.53,-0.45,-0.09
2820.TW,2025-10-08,-0.02,-0.01,-0.01
2915.TW,2025-10-08,-0.53,-0.37,-0.16
2945.TW,2025-10-08,-0.25,-0.18,-0.08
3005.TW,2025-10-08,0.74,2.87,-2.13
3014.TW,2025-10-08,-0.12,-0.06,-0.06
3019.TW,2025-10-08,-0.16,0.19,-0.35
3024.TW,2025-10-08,0.01,0.04,-0.03
3027.TW,2025-10-08,-0.62,-0.6,-0.02
3043.TW,2025-10-08,-0.33,-0.3,-0.03
3047.TW,2025-10-08,-0.31,-0.21,-0.09
3051.TW,2025-10-08,-0.39,-0.31,-0.08
3058.TW,2025-10-08,-0.06,0.01,-0.06
3059.TW,2025-10-08,-0.12,0.51,-0.64
3164.TW,2025-10-08,-0.21,-0.21,-0.0
3312.TW,2025-10-08,-0.85,-0.57,-0.29
3346.TW,2025-10-08,-0.13,-0.07,-0.07
3416.TW,2025-10-08,-0.67,1.02,-1.68
3432.TW,2025-10-08,-0.17,-0.15,-0.03
3518.TW,2025-10-08,-0.27,0.06,-0.33
3545.TW,2025-10-08,-0.6,-0.11,-0.49
3550.TW,2025-10-08,-0.04,-0.03,-0.01
3591.TW,2025-10-08,-0.01,0.02,-0.03
3605.TW,2025-10-08,-0.39,0.06,-0.45
3607.TW,2025-10-08,-0.17,-0.15,-0.02
3701.TW,2025-10-08,-0.49,-0.04,-0.45
4155.TW,2025-10-08,-0.27,-0.25,-0.03
4526.TW,2025-10-08,-0.37,-0.14,-0.22
4540.TW,2025-10-08,-0.92,-0.64,-0.28
4581.TW,2025-10-08,-0.23,-0.07,-0.16
4919.TW,2025-10-08,-0.16,-0.01,-0.15
4952.TW,2025-10-08,-0.24,0.08,-0.31
4958.TW,2025-10-08,-0.2,1.02,-1.22
5388.TW,2025-10-08,-0.63,-0.38,-0.25
5484.TW,2025-10-08,-0.4,-0.23,-0.17
5521.TW,2025-10-08,-0.3,-0.25,-0.05
5525.TW,2025-10-08,-0.37,-0.26,-0.1
5531.TW,2025-10-08,-0.08,-0.08,-0.0
5534.TW,2025-10-08,-0.73,-0.45,-0.28
5546.TW,2025-10-08,-0.72,-0.7,-0.02
5608.TW,2025-10-08,-0.16,-0.09,-0.07
6142.TW,2025-10-08,-0.04,-0.02,-0.02
6164.TW,2025-10-08,-0.05,-0.04,-0.01
6166.TW,2025-10-08,-0.86,-0.77,-0.09
6184.TW,2025-10-08,-0.44,-0.34,-0.09
6191.TW,2025-10-08,-0.75,0.38,-1.12
6225.TW,2025-10-08,-0.01,0.29,-0.29
6226.TW,2025-10-08,-0.05,-0.04,-0.02
6243.TW,2025-10-08,-0.36,-0.28,-0.08
6269.TW,2025-10-08,-0.68,-0.37,-0.3
6283.TW,2025-10-08,-0.49,-0.37,-0.12
6477.TW,2025-10-08,-0.41,0.26,-0.67
6573.TW,2025-10-08,0.0,0.02,-0.02
6585.TW,2025-10-08,0.03,0.1,-0.06
6689.TW,2025-10-08,-0.91,-0.75,-0.16
6743.TW,2025-10-08,-0.46,-0.17,-0.29
6756.TW,2025-10-08,-0.47,-0.44,-0.03
6792.TW,2025-10-08,-0.59,-0.48,-0.1
6885.TW,2025-10-08,-0.43,-0.37,-0.06
6916.TW,2025-10-08,-0.37,-0.35,-0.02
6931.TW,2025-10-08,0.29,0.31,-0.02
6937.TW,2025-10-08,7.98,8.98,-1.01
8011.TW,2025-10-08,-0.1,-0.06,-0.05
8201.TW,2025-10-08,-0.1,0.18,-0.28
8438.TW,2025-10-08,-0.14,-0.11,-0.02
8488.TW,2025-10-08,-0.3,-0.2,-0.09
9902.TW,2025-10-08,-0.37,-0.25,-0.12
9905.TW,2025-10-08,-0.14,-0.12,-0.02
9928.TW,2025-10-08,-0.11,-0.05,-0.05
9946.TW,2025-10-08,-0.21,-0.15,-0.06
